sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN02261390	Niabella soli	99.977	446683	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Niabella	Niabella soli	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261390.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261390.contigs.fa.gz
SAMN05444391	Thermocrinis minervae	99.978	381751	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis	Thermocrinis minervae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444391.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444391.contigs.fa.gz
SAMN03418623	Rathayibacter toxicus	99.979	145458	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rathayibacter	Rathayibacter toxicus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_320/SAMN03418623.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_320/SAMN03418623.contigs.fa.gz
SAMN02440953	Candidatus Cloacimonas acidaminovorans	99.979	456827	Candidatus Cloacimonetes				Candidatus Cloacimonas	Candidatus Cloacimonas acidaminovorans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440953.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440953.contigs.fa.gz
SAMN07135858	Halomonas beimenensis	99.979	475662	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas beimenensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_469/SAMN07135858.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_469/SAMN07135858.contigs.fa.gz
SAMN02745122	Acholeplasma oculi	99.98	35623	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma oculi	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745122.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_293/SAMN02745122.contigs.fa.gz
SAMN02261347	Gloeocapsa sp. PCC 7428	99.98	1173026	Cyanobacteria		Chroococcales	Chroococcaceae	Gloeocapsa	Gloeocapsa sp. PCC 7428	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261347.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261347.contigs.fa.gz
SAMN04917385	Orientia tsutsugamushi	99.981	784	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Orientia	Orientia tsutsugamushi	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_385/SAMN04917385.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_385/SAMN04917385.contigs.fa.gz
SAMN06269301	Geobacter sp. DSM 9736	99.982	1277350	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sp. DSM 9736	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06269301.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_445/SAMN06269301.contigs.fa.gz
SAMN05444287	Octadecabacter temperatus	99.982	1458307	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	Octadecabacter temperatus	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444287.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_406/SAMN05444287.contigs.fa.gz
SAMN00713617	Tepidanaerobacter acetatoxydans	99.984	499229	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Tepidanaerobacter	Tepidanaerobacter acetatoxydans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713617.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00713617.contigs.fa.gz
SAMN02598491	Fibrobacter succinogenes	99.985	833	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_288/SAMN02598491.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_288/SAMN02598491.contigs.fa.gz
SAMN07451160	Deinococcus radiodurans	99.985	1299	Deinococcus-Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_490/SAMN07451160.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_490/SAMN07451160.contigs.fa.gz
