sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species	original_path	ftp_path
SAMN02199231	Laribacter hongkongensis	99.047	168471	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Laribacter	Laribacter hongkongensis	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199231.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_274/SAMN02199231.contigs.fa.gz
SAMN02261421	Thermanaerovibrio velox	99.05	108007	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermanaerovibrio	Thermanaerovibrio velox	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261421.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_276/SAMN02261421.contigs.fa.gz
SAMN08125751	Lacinutrix sp. Bg11-31	99.056	2057808	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Lacinutrix	Lacinutrix sp. Bg11-31	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_528/SAMN08125751.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_528/SAMN08125751.contigs.fa.gz
SAMN02440596	Teredinibacter turnerae	99.064	2426	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Teredinibacter	Teredinibacter turnerae	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440596.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_285/SAMN02440596.contigs.fa.gz
SAMN05216534	Candidatus Aquiluna sp. UB-MaderosW2red	99.078	1855377	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Candidatus Aquiluna	Candidatus Aquiluna sp. UB-MaderosW2red	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216534.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_393/SAMN05216534.contigs.fa.gz
SAMN03568969	Wolinella succinogenes	99.087	844	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Wolinella	Wolinella succinogenes	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_332/SAMN03568969.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_332/SAMN03568969.contigs.fa.gz
SAMN00691412	Dialister pneumosintes	99.093	39950	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Dialister	Dialister pneumosintes	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00691412.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_268/SAMN00691412.contigs.fa.gz
SAMN09213727	Megasphaera sp. AJH120	99.105	2144175	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Megasphaera	Megasphaera stantonii	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_581/SAMN09213727.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_581/SAMN09213727.contigs.fa.gz
SAMD00064378	Jonesia denitrificans	99.109	43674	Actinobacteria	Actinobacteria	Micrococcales	Jonesiaceae	Jonesia	Jonesia denitrificans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_003/SAMD00064378.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_003/SAMD00064378.contigs.fa.gz
SAMN03996307	Pantoea agglomerans	99.114	549	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea agglomerans	/ebi/ftp/pub/databases/ENA2018-bacteria-661k/Assemblies/batch_345/SAMN03996307.contigs.fa.gz	https://ftp.ebi.ac.uk//pub/databases/ENA2018-bacteria-661k/Assemblies/batch_345/SAMN03996307.contigs.fa.gz
