sample_id	major_species	abundance	taxid	phylum	class	order	family	genus	species
SAMN02261250	Leptolyngbya boryana	99.961	1184	Cyanobacteria		Synechococcales	Leptolyngbyaceae	Leptolyngbya	Leptolyngbya boryana
SAMN06473757	Akkermansia muciniphila	99.961	239935	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila
SAMN08776252	Bacteriovorax stolpii	99.963	960	Proteobacteria	Oligoflexia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax	Bacteriovorax stolpii
SAMN00001504	Lactobacillus reuteri	99.963	1598	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri
SAMN00149467	Variovorax paradoxus	99.963	34073	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax	Variovorax paradoxus
SAMN00114987	Singulisphaera acidiphila	99.963	466153	Planctomycetes	Planctomycetia	Isosphaerales	Isosphaeraceae	Singulisphaera	Singulisphaera acidiphila
SAMN02261411	Terriglobus roseus	99.964	392734	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Terriglobus	Terriglobus roseus
SAMN07786804	Phaeobacter inhibens	99.965	221822	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	Phaeobacter inhibens
SAMN05444421	Celeribacter marinus	99.965	1397108	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter marinus
SAMD00025579	Geminocystis sp. NIES-3708	99.97	1615909	Cyanobacteria		Chroococcales	Chroococcaceae	Geminocystis	Geminocystis sp. NIES-3708
SAMN07431564	Rhodobacter sphaeroides	99.971	1063	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides
SAMN02261417	Owenweeksia hongkongensis	99.971	253245	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	Owenweeksia hongkongensis
SAMN00788606	Sediminispirochaeta smaragdinae	99.972	55206	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	Sediminispirochaeta smaragdinae
SAMN04913775	Elizabethkingia anophelis	99.972	1117645	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Elizabethkingia	Elizabethkingia anophelis
SAMN02745113	Nitrosomonas europaea	99.973	915	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas	Nitrosomonas europaea
